Address,Lot Size,Total SQFT,Year Built,Bed,Full Bath,Sale Date,Sale Price,Description
532 SWEET BAY CIR,0.1988,3062,1998,3,2,10/3/22,1000000,SINGLE FAMILY
526 SWEET BAY CIR,0.1515,3062,1998,3,2,4/29/21,675000,SINGLE FAMILY
340 JACARANDA DR,0.0657,1854,1998,3,2,10/25/22,530000,TOWNHOUSE
307 SWEET BAY CIR,0.1482,2806,1998,3,2,8/30/22,894000,SINGLE FAMILY
303 SWEET BAY CIR,0.1333,2806,1998,3,2,8/1/22,799000,SINGLE FAMILY
272 IRIS DR,0.0657,1854,1998,3,2,7/12/22,445000,TOWNHOUSE
251 SWEET BAY CIR,0.1217,2806,1998,3,2,8/4/22,760000,SINGLE FAMILY
250 SWEET BAY CIR,0.1653,3062,1998,3,2,5/27/21,745000,SINGLE FAMILY
250 IRIS DR,0.0414,1842,1998,3,2,7/21/21,410000,TOWNHOUSE
246 IRIS DR,0.0657,1854,1998,3,2,7/14/22,570000,TOWNHOUSE
235 SWEET BAY CIR,0.1297,2806,1998,3,2,5/4/21,590000,SINGLE FAMILY
146 DAY LILY DR,0.0668,1780,1998,3,2,6/15/22,538000,TOWNHOUSE
142 DAY LILY DR,0.0414,1842,1998,3,2,4/11/22,565000,TOWNHOUSE
142 DAY LILY DR,0.0414,1842,1998,3,2,8/25/21,500000,TOWNHOUSE
140 REDWOOD DR,0.0657,1854,1998,3,2,3/1/22,470000,TOWNHOUSE
140 DAY LILY DR,0.0657,1854,1998,3,2,12/28/21,479000,TOWNHOUSE
132 REDWOOD DR,0.0414,1842,1998,3,2,11/29/21,430000,TOWNHOUSE
131 BISHOPWOOD DR,0.0657,1854,1998,3,2,5/15/23,535000,TOWNHOUSE
130 REDWOOD DR,0.0657,1854,1998,3,2,8/5/21,405500,TOWNHOUSE
130 DAY LILY DR,0.0414,1842,1998,3,2,5/18/23,585000,TOWNHOUSE
130 DAY LILY DR,0.0414,1842,1998,3,2,1/4/23,480000,TOWNHOUSE
129 VILLAGE WAY,0.3108,5092,1998,5,4,4/4/23,2850000,SINGLE FAMILY
